Наименование филиала ;Необходимый тип транспортного средства;Подана заявка;Выполнена заявка
ВПС Савеловский;Машина с носилками;05.10.2022;05.10.2022
ВПС Дегунино;Машина с носилками;05.10.2022;05.10.2022
ВПС Черемушкинская;Машина с носилками;05.10.2022;05.10.2022
ВПС ПМХ;Машина с носилками;05.10.2022;05.10.2022
ВПС Перово;Машина с носилками;05.10.2022;05.10.2022
ВПС Куркино;Машина с носилками;05.10.2022;05.10.2022
ВПС Черемушкинская;Машина с носилками;05.10.2022;05.10.2022
ВПС Люблино;Машина с носилками;05.10.2022;05.10.2022
ВПС Царицыно;Машина с носилками;05.10.2022;05.10.2022
ВПС ПМХ;Скорая помощь (Центр);05.10.2022;05.10.2022
ВПС Некрасовка;Машина с носилками;05.10.2022;05.10.2022
Куркино;Машина с носилками;05.10.2022;05.10.2022
ВПС Куркино;Машина с носилками;05.10.2022;05.10.2022
Социальная служба;Машина с носилками;05.10.2022;05.10.2022
ВПС Бутово;Машина с носилками;05.10.2022;05.10.2022
ВПС Солнцево;Машина с носилками;05.10.2022;05.10.2022
ВПС Ростокино;Машина с носилками;05.10.2022;05.10.2022
ВПС Черемушкинская;Скорая помощь (Центр);05.10.2022;05.10.2022
Савеловский (4 ОПМПВ);Машина с носилками;05.10.2022;05.10.2022
ВПС Вороново;Машина с носилками;05.10.2022;06.10.2022
ВПС Вороново;Машина с носилками;05.10.2022;06.10.2022
Некрасовка;Машина с носилками;05.10.2022;06.10.2022
ПМДХ;Машина СМП/ЦЭМП (тяжелые пациенты с мед.сопровождением, респираторная поддержка );05.10.2022;06.10.2022
ДСУ Люблино;Машина с носилками;05.10.2022;07.10.2022
Медицинский архив;Легковой административный транспорт;05.10.2022;07.10.2022
ВПС Дегунино;Машина с носилками;05.10.2022;10.10.2022
Савеловский (3 ОПМПВ);Машина с носилками;05.10.2022;06.10.2022
Зеленоград;Машина с носилками;05.10.2022;06.10.2022
Савеловский (3 ОПМПВ);Машина с носилками;05.10.2022;06.10.2022
ДСУ Люблино;Машина с носилками;05.10.2022;06.10.2022
ДСУ Люблино;Машина с носилками;05.10.2022;10.10.2022
Савеловский (1 ОПМПВ);Машина с носилками;05.10.2022;06.10.2022
ДСУ Люблино;Машина СМП/ЦЭМП (тяжелые пациенты с мед.сопровождением, респираторная поддержка );05.10.2022;05.10.2022
ВПС Зеленоград;Машина с носилками;05.10.2022;06.10.2022
Координационный центр;Скорая помощь (Центр);06.10.2022;05.10.2022
Координационный центр;Скорая помощь (Центр);06.10.2022;05.10.2022
Координационный центр;Скорая помощь (Центр);06.10.2022;05.10.2022
Отдел МТО;Легковой административный транспорт;06.10.2022;06.10.2022
ВПС ПМХ;Машина с носилками;06.10.2022;06.10.2022
Аптека;Грузовой административный транспорт;06.10.2022;07.10.2022
ВПС Царицыно;Машина с носилками;06.10.2022;06.10.2022
ВПС Царицыно;Машина с носилками;06.10.2022;06.10.2022
ВПС Преображенское;Машина с носилками;06.10.2022;06.10.2022
ВПС Некрасовка;Машина с носилками;06.10.2022;06.10.2022
ПМХ;Машина с носилками;06.10.2022;07.10.2022
ВПС Ростокино;Машина СМП/ЦЭМП (тяжелые пациенты с мед.сопровождением, респираторная поддержка );06.10.2022;06.10.2022
Аптека;Легковой административный транспорт;06.10.2022;10.10.2022
Аптека;Грузовой административный транспорт;06.10.2022;10.10.2022
ВПС Хорошёво;Машина с носилками;06.10.2022;06.10.2022
ВПС ПМХ;Машина с носилками;06.10.2022;06.10.2022
ДСУ Коломенское;Машина с носилками;06.10.2022;07.10.2022
Социальная служба;Машина с носилками;06.10.2022;06.10.2022
ВПС Солнцево;Машина с носилками;06.10.2022;06.10.2022
ДСУ Коломенское;Машина с носилками;06.10.2022;07.10.2022
Савеловский (1 ОПМПВ);Машина с носилками;06.10.2022;07.10.2022
Куркино;Машина с носилками;06.10.2022;07.10.2022
Савеловский (4 ОПМПВ);Машина с носилками;06.10.2022;11.10.2022
Савеловский (3 ОПМПВ);Машина с носилками;06.10.2022;07.10.2022
ВПС Вороново;Машина с носилками;06.10.2022;07.10.2022
Савеловский (3 ОПМПВ);Машина с носилками;06.10.2022;07.10.2022
Савеловский (2 ОПМПВ);Машина с носилками;06.10.2022;07.10.2022
Савеловский (2 ОПМПВ);Машина с носилками;06.10.2022;07.10.2022
Координационный центр;Скорая помощь (Центр);06.10.2022;06.10.2022
Координационный центр;Скорая помощь (Центр);07.10.2022;06.10.2022
Координационный центр;Скорая помощь (Центр);07.10.2022;06.10.2022
Отдел МТО;Легковой административный транспорт;07.10.2022;07.10.2022
ВПС Ростокино;Машина с носилками;07.10.2022;07.10.2022
ВПС Зеленоград;Машина с носилками;07.10.2022;07.10.2022
ВПС Хорошёво;Машина с носилками;07.10.2022;07.10.2022
